4 3 118.0
4 4 150.0
4 5 92.0
4 6 118.0
4 7 144.0
4 2 114.0
5 3 123.0
5 4 150.0
5 5 152.0
5 6 168.0
5 7 117.0
6 3 152.0
6 4 169.0
6 5 156.0
6 6 116.0
6 7 162.0
6 8 178.0
7 3 134.0
7 4 178.0
7 5 180.0
7 6 151.0
7 7 188.0
7 8 178.0
8 3 256.0
8 4 193.0
8 5 245.0
8 6 178.0
8 7 195.0
9 3 188.0
9 4 254.0
9 5 257.0
9 6 287.0
9 7 181.0
10 3 220.0
10 4 272.0
10 5 289.0
10 6 239.0
10 7 262.0
10 8 249.0
11 3 263.0
11 4 325.0
11 5 227.0
11 6 264.0
11 7 312.0
11 8 427.0
12 4 269.0
12 5 326.0
12 6 338.0
12 7 306.0
12 8 310.0
12 3 869.0
13 4 360.0
13 5 279.0
13 6 245.0
13 7 411.0
13 8 309.0
14 3 424.0
14 4 370.0
14 5 350.0
14 6 321.0
14 7 409.0
14 8 407.0
15 4 337.0
15 5 364.0
15 6 351.0
15 7 454.0
15 8 347.0
15 3 404.0
16 4 518.0
16 5 471.0
16 6 506.0
16 7 371.0
16 8 456.0
17 3 395.0
17 4 550.0
17 5 391.0
17 6 476.0
17 7 470.0
17 8 485.0
18 3 564.0
18 4 443.0
18 5 526.0
18 6 414.0
18 7 465.0
18 8 411.0
19 3 441.0
19 4 479.0
19 5 491.0
19 6 456.0
19 7 574.0
20 4 449.0
20 5 548.0
20 6 549.0
20 7 540.0
20 8 430.0
20 3 529.0
21 3 540.0
21 4 560.0
21 5 590.0
21 6 594.0
21 7 538.0
22 3 708.0
22 4 587.0
22 5 527.0
22 6 431.0
22 7 506.0
22 8 471.0
23 3 573.0
23 4 576.0
23 5 624.0
23 6 410.0
23 7 581.0
24 3 551.0
24 4 603.0
24 5 655.0
24 6 577.0
24 7 593.0
24 8 606.0
25 3 530.0
25 4 661.0
25 5 549.0
25 6 632.0
25 7 596.0
26 4 581.0
26 5 582.0
26 6 684.0
26 7 558.0
26 8 701.0
26 3 1394.0
27 3 706.0
27 4 620.0
27 5 652.0
27 6 573.0
27 7 648.0
27 8 646.0
28 4 676.0
28 5 603.0
28 6 658.0
28 7 720.0
28 8 660.0
29 3 741.0
29 4 759.0
29 5 662.0
29 6 801.0
29 7 741.0
29 8 728.0
30 4 728.0
30 5 574.0
30 6 810.0
30 7 838.0
30 8 736.0
