8 419845.974 419845.974 419845.974 419845.974 419845.974
16 426612.2 426612.2 426612.2 426612.2 426612.2
32 426108.954 426108.954 426108.954 426108.954 426108.954
48 427668.861 427668.861 427668.861 427668.861 427668.861
64 428653.845 428653.845 428653.845 428653.845 428653.845
80 434629.339 434629.339 434629.339 434629.339 434629.339
96 434232.952 434232.952 434232.952 434232.952 434232.952
112 448312.428 448312.428 448312.428 448312.428 448312.428
128 467188.09 467188.09 467188.09 467188.09 467188.09
144 460968.658 460968.658 460968.658 460968.658 460968.658
160 432855.907 432855.907 432855.907 432855.907 432855.907
176 439247.412 439247.412 439247.412 439247.412 439247.412
192 451189.299 451189.299 451189.299 451189.299 451189.299
208 443429.441 443429.441 443429.441 443429.441 443429.441
224 450380.345 450380.345 450380.345 450380.345 450380.345
240 460384.002 460384.002 460384.002 460384.002 460384.002
256 459660.842 459660.842 459660.842 459660.842 459660.842
272 441935.428 441935.428 441935.428 441935.428 441935.428
288 435204.393 435204.393 435204.393 435204.393 435204.393
304 442077.0 442077.0 442077.0 442077.0 442077.0
320 428691.02 428691.02 428691.02 428691.02 428691.02
336 429318.636 429318.636 429318.636 429318.636 429318.636
352 424945.601 424945.601 424945.601 424945.601 424945.601
368 438924.578 438924.578 438924.578 438924.578 438924.578
384 451870.934 451870.934 451870.934 451870.934 451870.934
400 548972.624 548972.624 548972.624 548972.624 548972.624
416 454758.673 454758.673 454758.673 454758.673 454758.673
432 464266.648 464266.648 464266.648 464266.648 464266.648
448 462464.73 462464.73 462464.73 462464.73 462464.73
464 465074.294 465074.294 465074.294 465074.294 465074.294
480 463100.273 463100.273 463100.273 463100.273 463100.273
500 462088.464 462088.464 462088.464 462088.464 462088.464
