320 10.7 39427669368.6 39427669368.6 39427669368.6 39427669368.6 39427669368.6
320 12.4 39144342662.7 39144342662.7 39144342662.7 39144342662.7 39144342662.7
336 11.4 40427429690.0 40427429690.0 40427429690.0 40427429690.0 40427429690.0
336 14.2 40591273033.0 40591273033.0 40591273033.0 40591273033.0 40591273033.0
352 12.5 40125958600.2 40125958600.2 40125958600.2 40125958600.2 40125958600.2
368 11.1 42716773735.5 42716773735.5 42716773735.5 42716773735.5 42716773735.5
368 12.3 42413932782.1 42413932782.1 42413932782.1 42413932782.1 42413932782.1
384 10.5 42391274203.0 42391274203.0 42391274203.0 42391274203.0 42391274203.0
400 11.0 42836596823.9 42836596823.9 42836596823.9 42836596823.9 42836596823.9
400 13.1 42953332613.2 42953332613.2 42953332613.2 42953332613.2 42953332613.2
400 14.5 42612721750.0 42612721750.0 42612721750.0 42612721750.0 42612721750.0
416 12.8 44083020715.2 44083020715.2 44083020715.2 44083020715.2 44083020715.2
432 10.9 44102715976.7 44102715976.7 44102715976.7 44102715976.7 44102715976.7
432 14.1 44044336551.9 44044336551.9 44044336551.9 44044336551.9 44044336551.9
448 9.1 42541632565.3 42541632565.3 42541632565.3 42541632565.3 42541632565.3
448 11.7 42374685508.3 42374685508.3 42374685508.3 42374685508.3 42374685508.3
448 13.3 43490363685.7 43490363685.7 43490363685.7 43490363685.7 43490363685.7
464 11.5 42461699181.3 42461699181.3 42461699181.3 42461699181.3 42461699181.3
480 8.9 41377084753.4 41377084753.4 41377084753.4 41377084753.4 41377084753.4
480 11.7 41088521363.0 41088521363.0 41088521363.0 41088521363.0 41088521363.0
480 13.3 42138862205.2 42138862205.2 42138862205.2 42138862205.2 42138862205.2
500 10.6 40861921916.0 40861921916.0 40861921916.0 40861921916.0 40861921916.0
500 12.0 40989322592.5 40989322592.5 40989322592.5 40989322592.5 40989322592.5
