1 24.04 25.0 25.0 25.0 25.0 24.8
4 24.0 24.0 24.0 24.0 24.0 24.0
8 24.0 24.0 24.0 24.0 24.0 24.0
12 24.0 24.0 25.0 25.0 25.0 24.6
16 25.0 25.0 25.0 25.0 25.0 25.0
20 25.0 25.0 26.0 26.0 26.0 25.6
24 26.0 26.0 26.0 26.0 26.0 26.0
28 26.0 26.0 26.0 26.0 26.96 26.2
32 26.0 26.0 26.0 26.0 26.0 26.0
